"STATISTIC","Statistic Label","TLIST(A1)","Year","C02076V03371","Single year of age","C02710V03278","Ability to speak Irish","UNIT","VALUE"
"F8006C01","Population 3 years and over","2011","2011","-","All ages","07","Population","Number","4370631"
"F8006C01","Population 3 years and over","2011","2011","-","All ages","12","All Irish speakers","Number","1774437"
"F8006C01","Population 3 years and over","2011","2011","-","All ages","13","Non-Irish speakers","Number","2507312"
"F8006C01","Population 3 years and over","2011","2011","-","All ages","98","Not stated","Number","88882"
"F8006C01","Population 3 years and over","2011","2011","003","3 years","07","Population","Number","71457"
"F8006C01","Population 3 years and over","2011","2011","003","3 years","12","All Irish speakers","Number","5392"
"F8006C01","Population 3 years and over","2011","2011","003","3 years","13","Non-Irish speakers","Number","61038"
"F8006C01","Population 3 years and over","2011","2011","003","3 years","98","Not stated","Number","5027"
"F8006C01","Population 3 years and over","2011","2011","004","4 years","07","Population","Number","67251"
"F8006C01","Population 3 years and over","2011","2011","004","4 years","12","All Irish speakers","Number","13348"
"F8006C01","Population 3 years and over","2011","2011","004","4 years","13","Non-Irish speakers","Number","51085"
"F8006C01","Population 3 years and over","2011","2011","004","4 years","98","Not stated","Number","2818"
"F8006C01","Population 3 years and over","2011","2011","005","5 years","07","Population","Number","64937"
"F8006C01","Population 3 years and over","2011","2011","005","5 years","12","All Irish speakers","Number","31654"
"F8006C01","Population 3 years and over","2011","2011","005","5 years","13","Non-Irish speakers","Number","31275"
"F8006C01","Population 3 years and over","2011","2011","005","5 years","98","Not stated","Number","2008"
"F8006C01","Population 3 years and over","2011","2011","006","6 years","07","Population","Number","64976"
"F8006C01","Population 3 years and over","2011","2011","006","6 years","12","All Irish speakers","Number","37229"
"F8006C01","Population 3 years and over","2011","2011","006","6 years","13","Non-Irish speakers","Number","25941"
"F8006C01","Population 3 years and over","2011","2011","006","6 years","98","Not stated","Number","1806"
"F8006C01","Population 3 years and over","2011","2011","007","7 years","07","Population","Number","64441"
"F8006C01","Population 3 years and over","2011","2011","007","7 years","12","All Irish speakers","Number","41447"
"F8006C01","Population 3 years and over","2011","2011","007","7 years","13","Non-Irish speakers","Number","21525"
"F8006C01","Population 3 years and over","2011","2011","007","7 years","98","Not stated","Number","1469"
"F8006C01","Population 3 years and over","2011","2011","008","8 years","07","Population","Number","63816"
"F8006C01","Population 3 years and over","2011","2011","008","8 years","12","All Irish speakers","Number","43768"
"F8006C01","Population 3 years and over","2011","2011","008","8 years","13","Non-Irish speakers","Number","18714"
"F8006C01","Population 3 years and over","2011","2011","008","8 years","98","Not stated","Number","1334"
"F8006C01","Population 3 years and over","2011","2011","009","9 years","07","Population","Number","62600"
"F8006C01","Population 3 years and over","2011","2011","009","9 years","12","All Irish speakers","Number","44842"
"F8006C01","Population 3 years and over","2011","2011","009","9 years","13","Non-Irish speakers","Number","16636"
"F8006C01","Population 3 years and over","2011","2011","009","9 years","98","Not stated","Number","1122"
"F8006C01","Population 3 years and over","2011","2011","010","10 years","07","Population","Number","61429"
"F8006C01","Population 3 years and over","2011","2011","010","10 years","12","All Irish speakers","Number","44557"
"F8006C01","Population 3 years and over","2011","2011","010","10 years","13","Non-Irish speakers","Number","15521"
"F8006C01","Population 3 years and over","2011","2011","010","10 years","98","Not stated","Number","1351"
"F8006C01","Population 3 years and over","2011","2011","011","11 years","07","Population","Number","60834"
"F8006C01","Population 3 years and over","2011","2011","011","11 years","12","All Irish speakers","Number","44650"
"F8006C01","Population 3 years and over","2011","2011","011","11 years","13","Non-Irish speakers","Number","15176"
"F8006C01","Population 3 years and over","2011","2011","011","11 years","98","Not stated","Number","1008"
"F8006C01","Population 3 years and over","2011","2011","012","12 years","07","Population","Number","61234"
"F8006C01","Population 3 years and over","2011","2011","012","12 years","12","All Irish speakers","Number","44978"
"F8006C01","Population 3 years and over","2011","2011","012","12 years","13","Non-Irish speakers","Number","15280"
"F8006C01","Population 3 years and over","2011","2011","012","12 years","98","Not stated","Number","976"
"F8006C01","Population 3 years and over","2011","2011","013","13 years","07","Population","Number","59992"
"F8006C01","Population 3 years and over","2011","2011","013","13 years","12","All Irish speakers","Number","43263"
"F8006C01","Population 3 years and over","2011","2011","013","13 years","13","Non-Irish speakers","Number","15919"
"F8006C01","Population 3 years and over","2011","2011","013","13 years","98","Not stated","Number","810"
"F8006C01","Population 3 years and over","2011","2011","014","14 years","07","Population","Number","59002"
"F8006C01","Population 3 years and over","2011","2011","014","14 years","12","All Irish speakers","Number","41844"
"F8006C01","Population 3 years and over","2011","2011","014","14 years","13","Non-Irish speakers","Number","16372"
"F8006C01","Population 3 years and over","2011","2011","014","14 years","98","Not stated","Number","786"
"F8006C01","Population 3 years and over","2011","2011","015","15 years","07","Population","Number","57227"
"F8006C01","Population 3 years and over","2011","2011","015","15 years","12","All Irish speakers","Number","39589"
"F8006C01","Population 3 years and over","2011","2011","015","15 years","13","Non-Irish speakers","Number","16880"
"F8006C01","Population 3 years and over","2011","2011","015","15 years","98","Not stated","Number","758"
"F8006C01","Population 3 years and over","2011","2011","016","16 years","07","Population","Number","56005"
"F8006C01","Population 3 years and over","2011","2011","016","16 years","12","All Irish speakers","Number","37527"
"F8006C01","Population 3 years and over","2011","2011","016","16 years","13","Non-Irish speakers","Number","17739"
"F8006C01","Population 3 years and over","2011","2011","016","16 years","98","Not stated","Number","739"
"F8006C01","Population 3 years and over","2011","2011","017","17 years","07","Population","Number","55865"
"F8006C01","Population 3 years and over","2011","2011","017","17 years","12","All Irish speakers","Number","36862"
"F8006C01","Population 3 years and over","2011","2011","017","17 years","13","Non-Irish speakers","Number","18216"
"F8006C01","Population 3 years and over","2011","2011","017","17 years","98","Not stated","Number","787"
"F8006C01","Population 3 years and over","2011","2011","018","18 years","07","Population","Number","56840"
"F8006C01","Population 3 years and over","2011","2011","018","18 years","12","All Irish speakers","Number","34190"
"F8006C01","Population 3 years and over","2011","2011","018","18 years","13","Non-Irish speakers","Number","21575"
"F8006C01","Population 3 years and over","2011","2011","018","18 years","98","Not stated","Number","1075"
"F8006C01","Population 3 years and over","2011","2011","019","19 years","07","Population","Number","57082"
"F8006C01","Population 3 years and over","2011","2011","019","19 years","12","All Irish speakers","Number","30583"
"F8006C01","Population 3 years and over","2011","2011","019","19 years","13","Non-Irish speakers","Number","25428"
"F8006C01","Population 3 years and over","2011","2011","019","19 years","98","Not stated","Number","1071"
"F8006C01","Population 3 years and over","2011","2011","020","20 years","07","Population","Number","59932"
"F8006C01","Population 3 years and over","2011","2011","020","20 years","12","All Irish speakers","Number","28877"
"F8006C01","Population 3 years and over","2011","2011","020","20 years","13","Non-Irish speakers","Number","29717"
"F8006C01","Population 3 years and over","2011","2011","020","20 years","98","Not stated","Number","1338"
"F8006C01","Population 3 years and over","2011","2011","021","21 years","07","Population","Number","57930"
"F8006C01","Population 3 years and over","2011","2011","021","21 years","12","All Irish speakers","Number","26078"
"F8006C01","Population 3 years and over","2011","2011","021","21 years","13","Non-Irish speakers","Number","30503"
"F8006C01","Population 3 years and over","2011","2011","021","21 years","98","Not stated","Number","1349"
"F8006C01","Population 3 years and over","2011","2011","022","22 years","07","Population","Number","57647"
"F8006C01","Population 3 years and over","2011","2011","022","22 years","12","All Irish speakers","Number","24932"
"F8006C01","Population 3 years and over","2011","2011","022","22 years","13","Non-Irish speakers","Number","31485"
"F8006C01","Population 3 years and over","2011","2011","022","22 years","98","Not stated","Number","1230"
"F8006C01","Population 3 years and over","2011","2011","023","23 years","07","Population","Number","59459"
"F8006C01","Population 3 years and over","2011","2011","023","23 years","12","All Irish speakers","Number","24328"
"F8006C01","Population 3 years and over","2011","2011","023","23 years","13","Non-Irish speakers","Number","33960"
"F8006C01","Population 3 years and over","2011","2011","023","23 years","98","Not stated","Number","1171"
"F8006C01","Population 3 years and over","2011","2011","024","24 years","07","Population","Number","62263"
