Year,County,PercentageIrishSpeakers
1841,Carlow,85.2
1841,Dublin City,45.8
1841,Dún Laoghaire-Rathdown,72.3
1841,Fingal,68.9
1841,South Dublin,65.4
1841,Kildare,78.6
1841,Kilkenny,88.7
1841,Laois,82.3
1841,Longford,79.8
1841,Louth,71.2
1841,Meath,74.9
1841,Offaly,83.1
1841,Westmeath,76.5
1841,Wexford,87.4
1841,Wicklow,79.3
1841,Clare,94.7
1841,Cork City,76.2
1841,Cork County,91.8
1841,Limerick City,72.1
1841,Limerick County,89.3
1841,North Tipperary,87.6
1841,South Tipperary,89.2
1841,Waterford City,68.4
1841,Waterford County,84.7
1841,Galway City,88.9
1841,Galway County,96.2
1841,Leitrim,92.1
1841,Mayo,97.8
1841,Roscommon,91.4
1841,Sligo,89.7
1841,Cavan,86.3
1841,Donegal,94.8
1841,Monaghan,82.7
1881,Carlow,72.8
1881,Dublin City,32.1
1881,Dún Laoghaire-Rathdown,58.9
1881,Fingal,54.2
1881,South Dublin,51.7
1881,Kildare,65.3
1881,Kilkenny,75.4
1881,Laois,69.0
1881,Longford,66.5
1881,Louth,57.9
1881,Meath,61.6
1881,Offaly,69.8
1881,Westmeath,63.2
1881,Wexford,74.1
1881,Wicklow,65.9
1881,Clare,81.4
1881,Cork City,62.9
1881,Cork County,78.5
1881,Limerick City,58.8
1881,Limerick County,76.0
1881,North Tipperary,74.3
1881,South Tipperary,75.9
1881,Waterford City,55.1
1881,Waterford County,71.4
1881,Galway City,75.6
1881,Galway County,83.0
1881,Leitrim,78.8
1881,Mayo,84.5
1881,Roscommon,78.1
1881,Sligo,76.4
1881,Cavan,73.0
1881,Donegal,81.5
1881,Monaghan,69.4
1926,Carlow,58.4
1926,Dublin City,24.7
1926,Dún Laoghaire-Rathdown,45.6
1926,Fingal,41.8
1926,South Dublin,39.3
1926,Kildare,52.0
1926,Kilkenny,62.1
1926,Laois,55.7
1926,Longford,53.2
1926,Louth,44.6
1926,Meath,48.3
1926,Offaly,56.5
1926,Westmeath,49.9
1926,Wexford,60.8
1926,Wicklow,52.6
