Local Government District 2014 Code,Local Government District 2014 Label,Irish (Ability) Code,Irish (Ability) Label,Count
N09000001,Antrim and Newtownabbey,1,"Understands but does not read, write or speak Irish",4560
N09000001,Antrim and Newtownabbey,2,Speaks but does not read or write Irish,1756
N09000001,Antrim and Newtownabbey,3,Speaks and reads but does not write Irish,489
N09000001,Antrim and Newtownabbey,4,"Speaks, reads, writes and understands Irish",3433
N09000001,Antrim and Newtownabbey,5,Other combination of skills,839
N09000001,Antrim and Newtownabbey,6,No ability in Irish,129694
N09000001,Antrim and Newtownabbey,-8,No code required,4890
N09000002,"Armagh City, Banbridge and Craigavon",1,"Understands but does not read, write or speak Irish",10664
N09000002,"Armagh City, Banbridge and Craigavon",2,Speaks but does not read or write Irish,3942
N09000002,"Armagh City, Banbridge and Craigavon",3,Speaks and reads but does not write Irish,1016
N09000002,"Armagh City, Banbridge and Craigavon",4,"Speaks, reads, writes and understands Irish",7882
N09000002,"Armagh City, Banbridge and Craigavon",5,Other combination of skills,2140
N09000002,"Armagh City, Banbridge and Craigavon",6,No ability in Irish,184757
N09000002,"Armagh City, Banbridge and Craigavon",-8,No code required,8255
N09000003,Belfast,1,"Understands but does not read, write or speak Irish",18711
N09000003,Belfast,2,Speaks but does not read or write Irish,8536
N09000003,Belfast,3,Speaks and reads but does not write Irish,2161
N09000003,Belfast,4,"Speaks, reads, writes and understands Irish",17986
N09000003,Belfast,5,Other combination of skills,4189
N09000003,Belfast,6,No ability in Irish,282165
N09000003,Belfast,-8,No code required,11669
N09000004,Causeway Coast and Glens,1,"Understands but does not read, write or speak Irish",5736
N09000004,Causeway Coast and Glens,2,Speaks but does not read or write Irish,2157
N09000004,Causeway Coast and Glens,3,Speaks and reads but does not write Irish,557
N09000004,Causeway Coast and Glens,4,"Speaks, reads, writes and understands Irish",4187
N09000004,Causeway Coast and Glens,5,Other combination of skills,1061
N09000004,Causeway Coast and Glens,6,No ability in Irish,123458
N09000004,Causeway Coast and Glens,-8,No code required,4587
N09000005,Derry City and Strabane,1,"Understands but does not read, write or speak Irish",9250
N09000005,Derry City and Strabane,2,Speaks but does not read or write Irish,3567
N09000005,Derry City and Strabane,3,Speaks and reads but does not write Irish,932
N09000005,Derry City and Strabane,4,"Speaks, reads, writes and understands Irish",7474
N09000005,Derry City and Strabane,5,Other combination of skills,1949
N09000005,Derry City and Strabane,6,No ability in Irish,122106
N09000005,Derry City and Strabane,-8,No code required,5478
N09000006,Fermanagh and Omagh,1,"Understands but does not read, write or speak Irish",7516
N09000006,Fermanagh and Omagh,2,Speaks but does not read or write Irish,4076
N09000006,Fermanagh and Omagh,3,Speaks and reads but does not write Irish,981
N09000006,Fermanagh and Omagh,4,"Speaks, reads, writes and understands Irish",5837
N09000006,Fermanagh and Omagh,5,Other combination of skills,1656
N09000006,Fermanagh and Omagh,6,No ability in Irish,92485
N09000006,Fermanagh and Omagh,-8,No code required,4261
N09000007,Lisburn and Castlereagh,1,"Understands but does not read, write or speak Irish",3989
N09000007,Lisburn and Castlereagh,2,Speaks but does not read or write Irish,1533
N09000007,Lisburn and Castlereagh,3,Speaks and reads but does not write Irish,486
N09000007,Lisburn and Castlereagh,4,"Speaks, reads, writes and understands Irish",3062
N09000007,Lisburn and Castlereagh,5,Other combination of skills,879
N09000007,Lisburn and Castlereagh,6,No ability in Irish,133817
N09000007,Lisburn and Castlereagh,-8,No code required,5340
N09000008,Mid and East Antrim,1,"Understands but does not read, write or speak Irish",2807
N09000008,Mid and East Antrim,2,Speaks but does not read or write Irish,982
N09000008,Mid and East Antrim,3,Speaks and reads but does not write Irish,263
N09000008,Mid and East Antrim,4,"Speaks, reads, writes and understands Irish",1616
N09000008,Mid and East Antrim,5,Other combination of skills,608
N09000008,Mid and East Antrim,6,No ability in Irish,128378
N09000008,Mid and East Antrim,-8,No code required,4340
N09000009,Mid Ulster,1,"Understands but does not read, write or speak Irish",11694
N09000009,Mid Ulster,2,Speaks but does not read or write Irish,4802
N09000009,Mid Ulster,3,Speaks and reads but does not write Irish,1249
N09000009,Mid Ulster,4,"Speaks, reads, writes and understands Irish",9544
N09000009,Mid Ulster,5,Other combination of skills,2108
N09000009,Mid Ulster,6,No ability in Irish,114639
N09000009,Mid Ulster,-8,No code required,6255
N09000010,"Newry, Mourne and Down",1,"Understands but does not read, write or speak Irish",13596
N09000010,"Newry, Mourne and Down",2,Speaks but does not read or write Irish,5396
N09000010,"Newry, Mourne and Down",3,Speaks and reads but does not write Irish,1319
N09000010,"Newry, Mourne and Down",4,"Speaks, reads, writes and understands Irish",9620
N09000010,"Newry, Mourne and Down",5,Other combination of skills,2708
N09000010,"Newry, Mourne and Down",6,No ability in Irish,142603
N09000010,"Newry, Mourne and Down",-8,No code required,6832
N09000011,Ards and North Down,1,"Understands but does not read, write or speak Irish",2278
N09000011,Ards and North Down,2,Speaks but does not read or write Irish,750
N09000011,Ards and North Down,3,Speaks and reads but does not write Irish,230
N09000011,Ards and North Down,4,"Speaks, reads, writes and understands Irish",1231
N09000011,Ards and North Down,5,Other combination of skills,627
N09000011,Ards and North Down,6,No ability in Irish,153893
N09000011,Ards and North Down,-8,No code required,4651
